Name,Description,Color
A,Dieses Issue ist mit maximal 2h umsetzbar,#fbca04
B,Dieses Issue ist mit maximal 4h umsetzbar,#fbca04
C,Dieses Issue ist mit maximal 8h umsetzbar,#fbca04
Duplikat,Dieses Issue ist bereits vorhanden,#cfd3d7
Frage,weitere Informationen erforderlich,#d876e3
getestet & abgenommen,Dieses Issue wurde getestet und entspricht den Anforderungen,#e8931e
keine Umsetzung,Dieses Issue wird nicht umgesetzt,#ffffff
Task,technisches Issue für den Entwickler(kein Testen notwendig),#17b58d
Umsetzung genehmigt,Der Aufwand (A/B oder C) für die Umsetzung dieses Issues ist genehmigt,#75d35b
UseCase,Anforderung des Kunden,#bfdadc
X,,#e59142
